,GEO_0,GEO_1,GEO_2,GEO_3,hh,spanish,euro,asian,other,limeng_pct
0,Illinois,,,,5036449,110085,62737,37711,9399,0.0437
0,Illinois,Adams County,,,27915,31,0,11,19,0.0022
1,Illinois,Alexander County,,,1904,0,0,0,0,0.0
2,Illinois,Bond County,,,6147,0,2,0,0,0.0003
3,Illinois,Boone County,,,19460,440,104,0,0,0.028
4,Illinois,Brown County,,,2041,0,2,0,0,0.001
5,Illinois,Bureau County,,,14028,101,12,8,0,0.0086
6,Illinois,Calhoun County,,,1239,0,0,0,0,0.0
7,Illinois,Carroll County,,,6578,0,5,7,0,0.0018
8,Illinois,Cass County,,,5128,290,65,30,20,0.079
9,Illinois,Champaign County,,,85472,1228,1259,2880,157,0.0646
10,Illinois,Christian County,,,13586,29,0,3,0,0.0024
11,Illinois,Clark County,,,6555,18,0,0,0,0.0027
12,Illinois,Clay County,,,5311,16,0,8,0,0.0045
13,Illinois,Clinton County,,,14570,24,16,1,71,0.0077
14,Illinois,Coles County,,,20824,2,48,66,0,0.0056
15,Illinois,Cook County,,,2100230,74292,44926,24295,7143,0.0717
16,Illinois,Crawford County,,,7492,7,2,0,0,0.0012
17,Illinois,Cumberland County,,,4177,2,11,0,0,0.0031
18,Illinois,DeKalb County,,,39550,523,23,148,55,0.0189
19,Illinois,De Witt County,,,6595,8,0,2,0,0.0015
20,Illinois,Douglas County,,,7765,73,149,24,0,0.0317
21,Illinois,DuPage County,,,350758,6350,7498,3509,733,0.0516
22,Illinois,Edgar County,,,7567,12,0,3,0,0.002
23,Illinois,Edwards County,,,2666,8,6,17,0,0.0116
24,Illinois,Effingham County,,,13951,58,12,23,0,0.0067
25,Illinois,Fayette County,,,7814,17,5,14,0,0.0046
26,Illinois,Ford County,,,5828,29,0,3,0,0.0055
27,Illinois,Franklin County,,,16137,46,2,15,0,0.0039
28,Illinois,Fulton County,,,13795,0,3,0,0,0.0002
29,Illinois,Gallatin County,,,2098,0,2,0,0,0.001
30,Illinois,Greene County,,,4452,0,3,0,0,0.0007
31,Illinois,Grundy County,,,20595,35,24,0,0,0.0029
32,Illinois,Hamilton County,,,3387,0,0,2,0,0.0006
33,Illinois,Hancock County,,,7613,4,0,1,0,0.0007
34,Illinois,Hardin County,,,1545,0,0,0,0,0.0
35,Illinois,Henderson County,,,2704,0,0,0,0,0.0
36,Illinois,Henry County,,,20272,94,7,0,2,0.0051
37,Illinois,Iroquois County,,,11443,114,4,3,0,0.0106
38,Illinois,Jackson County,,,22955,79,140,47,4,0.0118
39,Illinois,Jasper County,,,3751,0,1,0,0,0.0003
40,Illinois,Jefferson County,,,14820,50,74,37,5,0.0112
41,Illinois,Jersey County,,,7965,15,0,0,0,0.0019
42,Illinois,Jo Daviess County,,,10391,31,15,4,4,0.0052
43,Illinois,Johnson County,,,4101,7,6,0,0,0.0032
44,Illinois,Kane County,,,184706,5648,1059,626,44,0.0399
45,Illinois,Kankakee County,,,40996,526,93,18,15,0.0159
46,Illinois,Kendall County,,,45372,389,102,46,29,0.0125
47,Illinois,Knox County,,,20972,204,87,5,0,0.0141
48,Illinois,Lake County,,,258455,7506,2549,2237,175,0.0482
49,Illinois,LaSalle County,,,45373,527,44,72,12,0.0144
50,Illinois,Lawrence County,,,5472,30,11,10,0,0.0093
51,Illinois,Lee County,,,13337,121,11,2,0,0.01
52,Illinois,Livingston County,,,14615,64,3,0,0,0.0046
53,Illinois,Logan County,,,11266,2,0,11,4,0.0015
54,Illinois,McDonough County,,,11856,49,69,13,2,0.0112
55,Illinois,McHenry County,,,117594,1045,641,226,0,0.0163
56,Illinois,McLean County,,,70220,332,162,281,13,0.0112
57,Illinois,Macon County,,,43468,102,30,164,5,0.0069
58,Illinois,Macoupin County,,,17576,30,4,14,0,0.0027
59,Illinois,Madison County,,,110134,397,43,199,11,0.0059
60,Illinois,Marion County,,,15512,80,14,19,0,0.0073
61,Illinois,Marshall County,,,5094,23,13,0,0,0.0071
62,Illinois,Mason County,,,5781,0,0,0,0,0.0
63,Illinois,Massac County,,,5457,30,0,0,0,0.0055
64,Illinois,Menard County,,,5228,0,0,0,0,0.0
65,Illinois,Mercer County,,,6565,22,10,0,0,0.0049
66,Illinois,Monroe County,,,13851,27,0,12,0,0.0028
67,Illinois,Montgomery County,,,11319,11,0,1,3,0.0013
68,Illinois,Morgan County,,,13076,15,0,0,0,0.0011
69,Illinois,Moultrie County,,,5817,32,37,0,0,0.0119
70,Illinois,Ogle County,,,20821,240,0,76,0,0.0152
71,Illinois,Peoria County,,,77755,424,90,352,52,0.0118
72,Illinois,Perry County,,,7875,11,0,0,0,0.0014
73,Illinois,Piatt County,,,6924,0,0,10,0,0.0014
74,Illinois,Pike County,,,5965,9,0,6,0,0.0025
75,Illinois,Pope County,,,1385,0,2,0,0,0.0014
76,Illinois,Pulaski County,,,1940,0,0,2,6,0.0041
77,Illinois,Putnam County,,,2465,0,0,0,0,0.0
78,Illinois,Randolph County,,,11945,94,4,0,28,0.0105
79,Illinois,Richland County,,,6443,16,17,0,0,0.0051
80,Illinois,Rock Island County,,,61733,572,524,385,332,0.0294
81,Illinois,St. Clair County,,,100846,299,118,107,8,0.0053
82,Illinois,Saline County,,,10024,51,0,11,0,0.0062
83,Illinois,Sangamon County,,,84762,161,111,167,14,0.0053
84,Illinois,Schuyler County,,,2734,1,0,0,0,0.0004
85,Illinois,Scott County,,,2046,0,1,0,0,0.0005
86,Illinois,Shelby County,,,8918,2,0,0,0,0.0002
87,Illinois,Stark County,,,2285,0,0,7,0,0.0031
88,Illinois,Stephenson County,,,19358,97,39,3,0,0.0072
89,Illinois,Tazewell County,,,54051,11,4,6,0,0.0004
90,Illinois,Union County,,,6868,0,0,0,0,0.0
91,Illinois,Vermilion County,,,30084,85,63,74,0,0.0074
92,Illinois,Wabash County,,,4740,5,1,0,2,0.0017
93,Illinois,Warren County,,,6787,110,70,16,0,0.0289
94,Illinois,Washington County,,,5795,4,17,9,0,0.0052
95,Illinois,Wayne County,,,6866,44,0,0,0,0.0064
96,Illinois,White County,,,5672,7,0,0,0,0.0012
97,Illinois,Whiteside County,,,23120,114,5,10,0,0.0056
98,Illinois,Will County,,,244273,4426,1860,962,137,0.0302
99,Illinois,Williamson County,,,28983,29,0,55,0,0.0029
100,Illinois,Winnebago County,,,116014,2010,396,336,294,0.0262
101,Illinois,Woodford County,,,14685,18,7,0,0,0.0017
0,Illinois,Adams County,Census Tract 1,,2321,0,0,0,0,0.0
1,Illinois,Adams County,Census Tract 2.01,,887,0,0,0,0,0.0
2,Illinois,Adams County,Census Tract 2.02,,1072,0,0,0,0,0.0
3,Illinois,Adams County,Census Tract 4,,1522,22,0,0,0,0.0145
4,Illinois,Adams County,Census Tract 5,,848,0,0,0,0,0.0
5,Illinois,Adams County,Census Tract 6,,1866,0,0,0,0,0.0
6,Illinois,Adams County,Census Tract 7,,718,0,0,0,0,0.0
7,Illinois,Adams County,Census Tract 8,,1080,0,0,0,0,0.0
8,Illinois,Adams County,Census Tract 9,,1228,0,0,0,0,0.0
9,Illinois,Adams County,Census Tract 10.01,,1436,0,0,0,0,0.0
10,Illinois,Adams County,Census Tract 10.02,,1199,9,0,11,0,0.0167
11,Illinois,Adams County,Census Tract 11,,3257,0,0,0,19,0.0058
12,Illinois,Adams County,Census Tract 101,,1919,0,0,0,0,0.0
13,Illinois,Adams County,Census Tract 102,,1536,0,0,0,0,0.0
14,Illinois,Adams County,Census Tract 103.01,,1009,0,0,0,0,0.0
15,Illinois,Adams County,Census Tract 103.02,,1147,0,0,0,0,0.0
16,Illinois,Adams County,Census Tract 104,,1281,0,0,0,0,0.0
17,Illinois,Adams County,Census Tract 105,,1283,0,0,0,0,0.0
18,Illinois,Adams County,Census Tract 106,,2306,0,0,0,0,0.0
